,-1,0,1,2
"[26.0, 50.0, 15.0, 35.0]",-149.578753381,-152.448448404,-160.228092689,-172.19203934
"[36.0, 58.0, 17.0, 41.0]",-138.639275979,-136.100881028,-157.008240408,-142.281567994
"[25.0, 30.0, 5.0, 25.0]",-118.64170476,-121.991514181,-129.573123639,-132.443182543
"[-11.0, 80.0, 11.0, 69.0]",-178.506985105,-177.384344848,-178.13778518,-178.021241351
"[45.0, 67.0, 13.0, 54.0]",-169.70410828,-171.950740249,-170.71183079,-169.989807939
"[-6.0, 73.0, 56.0, 17.0]",-162.096396237,-159.375386472,-165.339967502,-160.289591084
"[58.0, 95.0, -5.0, 100.0]",-150.102647803,-151.76935805,-156.825139918,-151.062019103
"[19.0, 65.0, 1.0, 64.0]",-137.316160766,-137.282700758,-138.986554187,-144.973480459
"[-23.0, 38.0, 39.0, -1.0]",-118.57594437,-109.857733837,-119.680132779,-117.884479224
"[26.0, 79.0, 5.0, 74.0]",-89.6004697568,-78.5651280745,-103.755748505,-88.4491904828
"[45.0, 62.0, 7.0, 55.0]",-51.1515302459,-31.273281988,-59.6783653323,-76.4136156004
"[-15.0, 50.0, 20.0, 30.0]",-32.3274970883,36.737191841,-32.7605669401,-32.1604279326
"[-45.0, 90.0, 70.0, 20.0]",-32.4529057052,-2.82727928704,106.3592367,-8.11167630018
"[-237.0, 246.0, 237.0, 9.0]",4.81064539161,11.7889820371,117.805814168,15.1302416536
"[51.0, 39.0, 5.0, 34.0]",135.669704976,6.15274463012,12.2757509069,15.0432501782
"[61.0, 90.0, 10.0, 80.0]",-18.9078248019,3.6653103685,97.220412877,-17.647445665
"[-66.0, 110.0, 60.0, 50.0]",-21.858422207,3.36287007433,70.1872317519,-37.2286853068
"[-63.0, 140.0, 85.0, 55.0]",0.668881999268,111.900536445,-1.3177356683,3.64241849365
"[102.0, 113.0, -2.0, 115.0]",18.7601798613,167.219101387,0.962586582407,13.7293651085
"[77.0, 120.0, 31.0, 89.0]",4.33579216976,-10.7520177326,1.34856526016,217.643202388
"[31.0, 65.0, 14.0, 51.0]",-14.2791572838,-18.6945619405,-20.1968378166,115.897932222
"[32.0, 77.0, 10.0, 67.0]",-28.4651412483,-33.9696795305,-4.78169242165,-32.1456397122
"[11.0, 62.0, 23.0, 39.0]",-3.43416090051,-37.0580911353,-36.7608285912,-37.2548836317
"[-7.0, 124.0, 71.0, 53.0]",17.5515047536,-37.2897806325,-44.9064488461,-46.6260514386
"[74.0, 110.0, 11.0, 99.0]",23.6208900443,-40.6299461266,-46.0138378184,-44.6861026338
"[-39.0, 80.0, 69.0, 11.0]",33.3449262207,-36.5898129947,-39.679778488,-38.6777439692
"[12.0, 40.0, 6.0, 34.0]",-34.0226845441,-30.703022237,42.8454480158,-27.8695731474
"[-64.0, 68.0, 78.0, -10.0]",-21.4996358165,-20.7396240152,30.110886301,-20.6152305643
"[11.0, 49.0, 27.0, 22.0]",-1.49438602302,35.0812184552,-11.0421215058,-6.26474555781
"[31.0, 53.0, 26.0, 27.0]",41.1241563581,-1.20594994273,-0.222426408155,-3.80037202285
"[-55.0, 119.0, 84.0, 35.0]",15.5178482796,17.4046411945,70.5648422762,10.1207377436
"[19.0, 79.0, 0.0, 79.0]",106.795656244,3.88144077454,3.34175573173,21.4069276297
"[35.0, 35.0, 10.0, 25.0]",35.443040073,1.45198168188,0.0212076637577,0.477367017056
"[-5.0, 61.0, 51.0, 10.0]",36.1669331127,5.67550829266,-13.5775593743,-15.7985443028
"[47.0, 54.0, 5.0, 49.0]",38.8961018286,4.76565244235,-13.1739604465,-9.07441476884
"[-17.0, 49.0, 27.0, 22.0]",5.97628624861,45.3826174328,-3.38929358222,-3.95868364815
"[-19.0, 60.0, 55.0, 5.0]",9.8582814108,53.9336806832,-0.239306175497,-0.142152791509
"[9.0, 55.0, 41.0, 14.0]",0.877533874742,2.10289010152,66.364437252,13.7634575643
"[-39.0, 26.0, 18.0, 8.0]",-10.0710496085,4.5741953781,35.5569233465,-12.4978410752
"[-31.0, 54.0, 46.0, 8.0]",-6.11369194414,33.9190315674,4.34694023325,-4.69022083334
"[5.0, 42.0, 10.0, 32.0]",1.5832293025,38.9681220076,5.453962221,-2.06688516545
"[12.0, 23.0, -2.0, 25.0]",7.35297639641,46.6237158167,11.5781821303,7.17479053272
"[15.0, 37.0, 0.0, 37.0]",8.17745688851,13.617635976,55.8928458376,10.6716400872
"[-18.0, 48.0, 32.0, 16.0]",-2.02583167172,20.5763691579,67.2043358029,0.0971469572312
"[-15.0, 38.0, 34.0, 4.0]",74.6069376612,9.83386349626,8.06565768076,23.8657559398
"[115.0, 127.0, 15.0, 112.0]",-0.0124489411455,-0.0997030794058,32.4706616403,12.1009232337
"[-46.0, 76.0, 55.0, 21.0]",-8.60988197174,-7.78113624988,-7.27168797967,-9.23572197547
"[-20.0, 49.0, 20.0, 29.0]",-32.0947646423,-15.0977979676,-13.9237323526,-30.544752745
"[-65.0, 118.0, 90.0, 28.0]",-30.1625228201,-20.2616759461,-19.9054069008,-29.6712845459
"[-8.0, 47.0, 11.0, 36.0]",-49.9249969438,-22.2775733683,-22.2658054227,-53.1649496185
"[-40.0, 32.0, 26.0, 6.0]",-65.080128253,-29.1407053955,-27.3941591073,-48.9619644656
"[-3.0, 37.0, 13.0, 24.0]",-53.0047616098,-32.5486675013,-34.4853142758,-48.6317341856
"[-10.0, 27.0, 23.0, 4.0]",-56.6345222352,-33.9514507335,-29.8251597238,-58.0575237299
"[-28.0, 38.0, 34.0, 4.0]",-53.5322809761,-28.0394182445,-35.0442842658,-58.8345614276
"[14.0, 37.0, 12.0, 25.0]",-74.0233282767,-33.9664440527,-22.146079735,-62.1813315559
"[-47.0, 71.0, 71.0, 0.0]",-50.7492389394,-33.4544163837,-11.6748997475,-59.0492640805
"[35.0, 61.0, 12.0, 49.0]",-48.9657077675,-2.60554556156,-28.9435537513,-57.4309615021
"[0.0, 51.0, 46.0, 5.0]",-43.0904411252,-24.1962601816,3.42345626589,-54.3473426959
"[2.0, 43.0, 6.0, 37.0]",-45.1455944757,-13.8540812082,19.3379139488,-46.7857325186
"[-2.0, 29.0, 14.0, 15.0]",-26.4117448968,-7.74237435987,32.8303991825,-31.6647452225
"[15.0, 47.0, 22.0, 25.0]",-10.6428668238,45.5027122569,-10.1048177404,-18.5907982229
"[46.0, 51.0, 6.0, 45.0]",-14.0429621419,55.2431309444,-0.20405664686,-32.7581241313
"[-7.0, 17.0, 7.0, 10.0]",-7.81351488059,17.8834148737,64.1591181745,-0.0663215747967
"[-10.0, 40.0, 30.0, 10.0]",30.9797819058,35.3808197859,122.540620586,8.25990223555
"[22.0, 44.0, 3.0, 41.0]",64.8943878186,61.0124273078,43.8870005503,213.174241143
"[60.0, 74.0, 5.0, 69.0]",41.7030191182,80.1599450651,57.4162296445,250.266562323
"[30.0, 55.0, -2.0, 57.0]",60.0426943095,46.306952713,75.1593338367,294.874190608
"[-89.0, 107.0, 105.0, 2.0]",262.735277082,77.1843098564,60.8977828948,72.5452153441
"[-5.0, 20.0, 3.0, 17.0]",63.3657609574,235.605530748,68.7481066194,62.9941167742
"[61.0, 75.0, 14.0, 61.0]",58.2100714561,215.31782651,36.5851544705,45.9039279167
"[19.0, 52.0, 14.0, 38.0]",198.684106363,43.4444278236,34.0984479726,33.7000142686
"[-21.0, 34.0, 35.0, -1.0]",31.131333376,185.372771192,27.4150309239,37.5007765078
"[-29.0, 69.0, 57.0, 12.0]",173.374804033,24.4706012703,21.1127458385,23.7241418751
"[48.0, 70.0, 0.0, 70.0]",162.305932326,-6.65812821612,-16.9400562468,-3.77942463636
"[44.0, 44.0, 3.0, 41.0]",153.382309139,-13.9037928578,-22.7512799044,-13.8736483425
"[-3.0, 48.0, 26.0, 22.0]",145.720328636,-19.980293484,-28.6253524896,-19.5104231776
"[25.0, 29.0, -1.0, 30.0]",-18.2157305378,137.456534627,-26.5902183648,-31.4876867453
"[-5.0, 25.0, 10.0, 15.0]",-25.2642563111,134.964567461,-25.0086774947,-35.5497035624
"[-4.0, 39.0, 41.0, -2.0]",133.44563142,-23.7671087155,-27.5114200429,-30.7334181791
"[100.0, 112.0, 5.0, 107.0]",128.063204723,-31.1471562398,-51.2582825215,-38.910825159
"[-11.0, 35.0, 16.0, 19.0]",124.192363918,-19.5514326613,-27.9002933856,-24.8458307624
"[-33.0, 66.0, 40.0, 26.0]",-2.20628563037,121.812067971,10.0328508041,-3.19302785102
"[-7.0, 34.0, 25.0, 9.0]",218.568054687,18.206669671,3.71475258553,1.33285691753
"[-10.0, 54.0, 49.0, 5.0]",13.2528648066,236.714964669,34.7431398038,28.1781675629
"[-36.0, 89.0, 50.0, 39.0]",19.4934364774,54.6071582335,249.374723696,48.4133186255
"[-105.0, 113.0, 103.0, 10.0]",54.4075846429,31.2557820487,41.9699717105,225.137058252
"[19.0, 28.0, 1.0, 27.0]",194.8921887,36.5246008105,28.2828609187,32.8613948934
"[109.0, 129.0, 1.0, 128.0]",24.8593052125,29.7877011483,156.575880991,34.0767083525
"[7.0, 35.0, 15.0, 20.0]",20.0965021035,139.005669434,27.8464166313,47.0433405152
"[55.0, 67.0, 12.0, 55.0]",52.1875588485,151.60298793,29.3384126023,48.6134469312
"[-33.0, 83.0, 42.0, 41.0]",39.4458699406,21.1285764551,28.1708520106,164.947443509
"[44.0, 68.0, 23.0, 45.0]",121.1345789,29.6229784497,18.0503741862,23.1213057561
"[-26.0, 53.0, 5.0, 48.0]",27.2939788777,19.4829029979,76.221491034,16.0271970068
"[-85.0, 112.0, 89.0, 23.0]",-3.77220715244,19.8447713732,7.26230985827,-0.912419288097
"[-46.0, 75.0, 64.0, 11.0]",-10.0326527956,4.83719581041,17.2071689916,-9.65302070776
"[-25.0, 48.0, 34.0, 14.0]",7.27078740867,14.3706314984,2.64054239913,5.36265269905
"[63.0, 93.0, 43.0, 50.0]",9.0640525603,7.14636094392,4.60376873612,13.6596949749
"[0.0, 79.0, 54.0, 25.0]",2.93162783286,6.76873086546,20.3805371553,7.44406801846
"[-18.0, 40.0, 23.0, 17.0]",27.9331707564,6.57379860891,7.11170679023,4.77301812747
"[17.0, 66.0, 23.0, 43.0]",1.93065399564,23.4398545666,3.8145375652,5.06902248111
"[5.0, 33.0, 15.0, 18.0]",1.8068368274,2.9051005779,26.901334371,4.36729629476
"[-25.0, 43.0, 43.0, 0.0]",4.04726450063,15.900851917,8.86688230865,2.81754006766
"[20.0, 56.0, 24.0, 32.0]",39.9633185578,2.53996315687,2.92027187833,8.52931484189
"[31.0, 49.0, 0.0, 49.0]",10.4375068155,2.65029073252,-10.9553009231,-14.6492737087
"[33.0, 19.0, 2.0, 17.0]",1.57226225844,6.65726513345,-21.7751113972,-19.1554780336
"[30.0, 43.0, 17.0, 26.0]",10.4748559928,1.39521981681,-15.8239549983,-17.9250051437
"[6009.0, 43.0, 25.0, 18.0]",0.51586903667,18.6210501078,-10.7147415486,-15.4039509855
"[-3.0, 20.0, 14.0, 6.0]",30.8290359387,8.05835046908,0.833853101674,3.83746248426
"[-76.0, 86.0, 76.0, 10.0]",6.78982973421,28.5569322709,2.4473323224,2.93279237794
"[26.0, 41.0, 0.0, 41.0]",-60.966883428,-6.25986217144,32.6835751069,-54.7826679403
"[-14.0, 28.0, 19.0, 9.0]",20.8168281145,13.3011314035,71.0599728899,15.6929548314
"[11.0, 37.0, 6.0, 31.0]",11.711050697,14.1473508743,76.8122911642,15.7968169545
"[5865.0, 28.0, 23.0, 5.0]",25.9043979871,85.7206023865,24.5400096585,24.7855481207
