,0,1,2
"[[38, 21, 17, '1.015', '1.395'], [38, 21, 17, '1.015', '1.395'], [38, 21, 17, '1.015', '1.395'], [38, 21, 17, '1.015', '1.395'], [38, 21, 17, '1.015', '1.395']]",107.846081246,142.608702535,123.489684326
"[[39, 24, 15, '1.015', '2.287'], [39, 24, 15, '1.015', '2.287'], [39, 24, 15, '1.015', '2.287'], [39, 24, 15, '1.015', '2.287'], [39, 24, 15, '1.015', '2.287']]",112.845621488,138.724108816,116.11314889
"[[49, 48, 1, '1.021', '1.66'], [49, 48, 1, '1.021', '1.66'], [49, 48, 1, '1.021', '1.66'], [49, 48, 1, '1.021', '1.66'], [49, 48, 1, '1.021', '1.66']]",101.867213352,137.78349423,116.309864828
"[[107, -13, 120, '0.996', '0.986'], [107, -13, 120, '0.996', '0.986'], [107, -13, 120, '0.996', '0.986'], [107, -13, 120, '0.996', '0.986'], [107, -13, 120, '0.996', '0.986']]",107.779721214,133.505554555,114.2889603
"[[56, 44, 12, '1.012', '1.362'], [56, 44, 12, '1.012', '1.362'], [56, 44, 12, '1.012', '1.362'], [56, 44, 12, '1.012', '1.362'], [56, 44, 12, '1.012', '1.362']]",105.174181938,128.477596269,114.097309033
"[[23, 13, 10, '1.009', '2.81'], [23, 13, 10, '1.009', '2.81'], [23, 13, 10, '1.009', '2.81'], [23, 13, 10, '1.009', '2.81'], [23, 13, 10, '1.009', '2.81']]",99.3765855325,126.40012486,109.127421713
"[[26, 15, 11, '1.005', '3.248'], [26, 15, 11, '1.005', '3.248'], [26, 15, 11, '1.005', '3.248'], [26, 15, 11, '1.005', '3.248'], [26, 15, 11, '1.005', '3.248']]",90.8587313476,122.768327342,105.93988386
"[[56, 17, 39, '0.995', '1.32'], [56, 17, 39, '0.995', '1.32'], [56, 17, 39, '0.995', '1.32'], [56, 17, 39, '0.995', '1.32'], [56, 17, 39, '0.995', '1.32']]",86.9148896635,118.52457336,100.858720278
"[[108, 23, 85, '0.981', '0.746'], [108, 23, 85, '0.981', '0.746'], [108, 23, 85, '0.981', '0.746'], [108, 23, 85, '0.981', '0.746'], [108, 23, 85, '0.981', '0.746']]",83.392376908,114.054789065,94.4195149743
"[[163, 33, 130, '0.963', '0.804'], [163, 33, 130, '0.963', '0.804'], [163, 33, 130, '0.963', '0.804'], [163, 33, 130, '0.963', '0.804'], [163, 33, 130, '0.963', '0.804']]",79.0749636601,110.371002227,93.3991188457
"[[204, 30, 174, '0.938', '0.769'], [204, 30, 174, '0.938', '0.769'], [204, 30, 174, '0.938', '0.769'], [204, 30, 174, '0.938', '0.769'], [204, 30, 174, '0.938', '0.769']]",75.2556554817,107.109299298,89.65611216
"[[65, 12, 53, '0.946', '1.062'], [65, 12, 53, '0.946', '1.062'], [65, 12, 53, '0.946', '1.062'], [65, 12, 53, '0.946', '1.062'], [65, 12, 53, '0.946', '1.062']]",72.5444607606,103.618918541,87.6394311324
"[[49, 21, 28, '0.951', '1.958'], [49, 21, 28, '0.951', '1.958'], [49, 21, 28, '0.951', '1.958'], [49, 21, 28, '0.951', '1.958'], [49, 21, 28, '0.951', '1.958']]",69.7270021935,100.691510021,86.3621154447
"[[60, 2, 58, '0.948', '1.217'], [60, 2, 58, '0.948', '1.217'], [60, 2, 58, '0.948', '1.217'], [60, 2, 58, '0.948', '1.217'], [60, 2, 58, '0.948', '1.217']]",67.9585465162,97.8287869878,82.1056706835
"[[70, 52, 18, '0.962', '1.406'], [70, 52, 18, '0.962', '1.406'], [70, 52, 18, '0.962', '1.406'], [70, 52, 18, '0.962', '1.406'], [70, 52, 18, '0.962', '1.406']]",65.5642529126,95.0642634367,81.4125322185
"[[81, 16, 65, '0.959', '2.905'], [81, 16, 65, '0.959', '2.905'], [81, 16, 65, '0.959', '2.905'], [81, 16, 65, '0.959', '2.905'], [81, 16, 65, '0.959', '2.905']]",61.5279330657,92.2049583886,76.5119341414
"[[108, 86, 22, '0.977', '2.826'], [108, 86, 22, '0.977', '2.826'], [108, 86, 22, '0.977', '2.826'], [108, 86, 22, '0.977', '2.826'], [108, 86, 22, '0.977', '2.826']]",62.5552108283,89.7159403339,72.0361343745
"[[53, 3, 50, '0.976', '3.545'], [53, 3, 50, '0.976', '3.545'], [53, 3, 50, '0.976', '3.545'], [53, 3, 50, '0.976', '3.545'], [53, 3, 50, '0.976', '3.545']]",59.0850399095,87.0318676,71.6278554375
"[[59, 17, 42, '0.979', '1.203'], [59, 17, 42, '0.979', '1.203'], [59, 17, 42, '0.979', '1.203'], [59, 17, 42, '0.979', '1.203'], [59, 17, 42, '0.979', '1.203']]",56.4606036766,84.3615425864,71.3701654944
"[[90, 59, 31, '0.986', '0.432'], [90, 59, 31, '0.986', '0.432'], [90, 59, 31, '0.986', '0.432'], [90, 59, 31, '0.986', '0.432'], [90, 59, 31, '0.986', '0.432']]",54.5937083736,81.1287322581,70.3049637086
"[[82, 25, 57, '0.98', '0.489'], [82, 25, 57, '0.98', '0.489'], [82, 25, 57, '0.98', '0.489'], [82, 25, 57, '0.98', '0.489'], [82, 25, 57, '0.98', '0.489']]",52.6234459945,78.2291127908,65.7321311789
"[[70, 60, 10, '0.982', '0.485'], [70, 60, 10, '0.982', '0.485'], [70, 60, 10, '0.982', '0.485'], [70, 60, 10, '0.982', '0.485'], [70, 60, 10, '0.982', '0.485']]",51.6544268113,75.4594520973,64.4186965284
"[[80, 0, 80, '0.979', '0.58'], [80, 0, 80, '0.979', '0.58'], [80, 0, 80, '0.979', '0.58'], [80, 0, 80, '0.979', '0.58'], [80, 0, 80, '0.979', '0.58']]",49.2733138822,72.7045460918,61.3713909866
"[[65, 1, 64, '0.976', '0.547'], [65, 1, 64, '0.976', '0.547'], [65, 1, 64, '0.976', '0.547'], [65, 1, 64, '0.976', '0.547'], [65, 1, 64, '0.976', '0.547']]",48.2627879383,70.1985261935,59.2050738848
"[[88, 33, 55, '0.985', '0.885'], [88, 33, 55, '0.985', '0.885'], [88, 33, 55, '0.985', '0.885'], [88, 33, 55, '0.985', '0.885'], [88, 33, 55, '0.985', '0.885']]",46.9873792286,65.2128821198,61.9266451964
"[[70, 24, 46, '0.983', '1.217'], [70, 24, 46, '0.983', '1.217'], [70, 24, 46, '0.983', '1.217'], [70, 24, 46, '0.983', '1.217'], [70, 24, 46, '0.983', '1.217']]",44.5486536535,65.5346789375,57.2762832949
"[[52, 32, 20, '0.986', '1.44'], [52, 32, 20, '0.986', '1.44'], [52, 32, 20, '0.986', '1.44'], [52, 32, 20, '0.986', '1.44'], [52, 32, 20, '0.986', '1.44']]",41.9342462474,63.4127656002,54.5264945602
"[[64, 62, 2, '0.994', '1.574'], [64, 62, 2, '0.994', '1.574'], [64, 62, 2, '0.994', '1.574'], [64, 62, 2, '0.994', '1.574'], [64, 62, 2, '0.994', '1.574']]",41.0052287304,59.4501935629,58.1026826031
"[[250, 241, 9, '1.04', '0.645'], [250, 241, 9, '1.04', '0.645'], [250, 241, 9, '1.04', '0.645'], [250, 241, 9, '1.04', '0.645'], [250, 241, 9, '1.04', '0.645']]",39.0029025749,59.8176303281,49.933016602
"[[80, -5, 85, '1.017', '1.089'], [80, -5, 85, '1.017', '1.089'], [80, -5, 85, '1.017', '1.089'], [80, -5, 85, '1.017', '1.089'], [80, -5, 85, '1.017', '1.089']]",36.5005781268,57.3256732836,49.0153806171
"[[130, 110, 20, '1.033', '0.727'], [130, 110, 20, '1.033', '0.727'], [130, 110, 20, '1.033', '0.727'], [130, 110, 20, '1.033', '0.727'], [130, 110, 20, '1.033', '0.727']]",37.1583774898,55.1082509216,49.1343277482
"[[128, 126, 2, '1.043', '0.892'], [128, 126, 2, '1.043', '0.892'], [128, 126, 2, '1.043', '0.892'], [128, 126, 2, '1.043', '0.892'], [128, 126, 2, '1.043', '0.892']]",36.3810188615,53.5400162059,46.3570262191
"[[114, 4, 110, '1.021', '0.824'], [114, 4, 110, '1.021', '0.824'], [114, 4, 110, '1.021', '0.824'], [114, 4, 110, '1.021', '0.824'], [114, 4, 110, '1.021', '0.824']]",34.1599458679,51.5745553909,43.7901918141
"[[150, 31, 119, '0.997', '0.689'], [150, 31, 119, '0.997', '0.689'], [150, 31, 119, '0.997', '0.689'], [150, 31, 119, '0.997', '0.689'], [150, 31, 119, '0.997', '0.689']]",31.5183423592,49.9572390045,41.9287016443
"[[100, 42, 58, '0.984', '1.035'], [100, 42, 58, '0.984', '1.035'], [100, 42, 58, '0.984', '1.035'], [100, 42, 58, '0.984', '1.035'], [100, 42, 58, '0.984', '1.035']]",30.8576062326,48.3890957692,41.894447856
"[[48, 4, 44, '0.977', '1.098'], [48, 4, 44, '0.977', '1.098'], [48, 4, 44, '0.977', '1.098'], [48, 4, 44, '0.977', '1.098'], [48, 4, 44, '0.977', '1.098']]",29.7709806722,46.5651554989,39.8381911398
"[[124, 81, 43, '0.98', '0.802'], [124, 81, 43, '0.98', '0.802'], [124, 81, 43, '0.98', '0.802'], [124, 81, 43, '0.98', '0.802'], [124, 81, 43, '0.98', '0.802']]",28.1477432811,44.7918933773,39.4970587056
